lat,long,url
25.6683991,-100.2402106,https://propiedades.com/inmuebles/casa-en-venta-colonia-la-quinta-calle-7-la-quinta-nuevo_leon-22891851#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=20
25.6886949,-100.4403585,https://propiedades.com/inmuebles/casa-en-venta-punta-roma-apice-dos-nuevo_leon-24886712#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=21
25.6560593,-100.1537806,https://propiedades.com/inmuebles/casa-en-venta-casas-nuevas-col-sierra-la-esperanza-provada-apodaca-sierra-la-esperanza-nuevo_leon-24870607#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=22
25.7435596,-100.1986934,https://propiedades.com/inmuebles/casa-en-venta-monte-alban-valle-de-apodaca-iv-nuevo_leon-24007961#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=23
19.0363841,-98.2013351,https://propiedades.com/inmuebles/casa-en-venta-rincon-de-los-romeros-304-bello-amanecer-residencial-nuevo_leon-23799113#pagina=2&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=24&final=1
19.0363841,-98.2013351,https://propiedades.com/inmuebles/casa-en-venta-cariati-415-bello-amanecer-residencial-nuevo_leon-24310169#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=1
25.7435596,-100.1986934,https://propiedades.com/inmuebles/casa-en-venta-monte-alban-115-valle-de-huinala-i-nuevo_leon-24190883#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=2
25.7715968,-100.4019455,https://propiedades.com/inmuebles/casa-en-venta-cataluna-urbi-villa-del-rey-1er-sector-nuevo_leon-24941875#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=3
25.7706051,-100.2090543,https://propiedades.com/inmuebles/casa-en-venta-rio-santiago-crystal-lagoons-nuevo_leon-24941628#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=4
25.6127488,-100.2642188,https://propiedades.com/inmuebles/casa-en-venta-villas-las-fuentes-villa-las-fuentes-nuevo_leon-24939187#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=5
25.6371434,-100.1703188,https://propiedades.com/inmuebles/casa-en-venta-circuito-hda-del-rocio-536-ex-hacienda-el-rosario-nuevo_leon-24943846#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=6
25.7709312,-100.4599559,https://propiedades.com/inmuebles/casa-en-venta-montenova-nuevo_leon-24940457#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=7
25.6719612,-100.3357791,https://propiedades.com/inmuebles/departamento-en-venta-padre-mier-maria-luisa-nuevo_leon-24943442#pagina=3&tipos=residencial-venta&area=nuevo-leon&precio-min=500000&precio-max=5000000&pos=8
